sn,sentence/context,polysemy_word,definition
51,Most bass guitar strings are made of nickel-wrapped steel. ,bass,bass.n.01
52,Some bass has Cobalt string.,bass,bass.n.01
53,The bass of female voice is different than that of male voice.,bass,bass.n.01
54,I caught a  bass in my net.,bass,freshwater_bass.n.01
55,I quite like to eat bass.,bass,freshwater_bass.n.01
56,The bass is very nutritious for the person suffering from heart diseases.,bass,freshwater_bass.n.01
57,Bass is a North American delicacy.,bass,freshwater_bass.n.01
58,That stick is two foot long.,foot,
59,The depth of well is about 12 foot.,foot,
60,She is five foot two inch.,foot,
61,his garden is 100 foot long and 50 foot wide.,foot,
62,His foot was injured.,foot,
63,Just use your foot while you kick a ball.,foot,
64,Your foot looks so dirty.,foot,
65,Ouch! pain on my left foot.,foot,
66,The foot of the chair is broken.,foot,
67,Just look at the foot of the hill.,foot,
68,The foot of the bed seem so weak.,foot,
69,She was found murdered at the foot of the stair.,foot,
70,Bikram scored 3 run.,run,
71,She did so fast to make more run and to lead the opponent.,run,
72,The Whiskers won by a single run.,run,
73,I hope this run gives a better result.,run,
74,"In the experimental run, the scientist succeeded to verify his theory.",run,
75,"If you run slowly, it does not affect on weight reduction.",run,
76,They always run on ground in morning.,run,
77,We need energy to run fast.,run,
78,He fell down as he just started to run.,run,
79,The light is so shining.,light,
80,The newly brought light bulb is so bright.,light,
81,The head light of the car was broken down.,light,
82,Light is combination of seven different color.,light,
83,Light up the fire.,light,
84,Light up the cigarette with my lighter.,light,
85,The bag he is carrying is light.,light,
86,it is light to lift,light,
87,This book is light than another.,light,
88,By using a new tooth paste his teeth became bright.,bright,
89,One requires a bright day to dry it.,bright,
90,"Just look at face of that girl, so bright.",bright,
91,It is so bright to see.,bright,
92,This child is exceptionally bright in study.,bright,
93,The marks that one secure in exams may not reflect  how bright the child is.,bright,
94,He is a bright child not just in history but in all subjects of sciences,bright,
95,The students of nanotechnology have very bright future in our country.,bright,
96,Our company has a bright future ahead.,bright,
97,Just doing well in studies is not a surety of bright future.,bright,
98,Future of that kid is bright.,bright,
99,His head and leg were injured in a car accident.,head,
100,I wear a cap on my head.,head,
101,Does my head look too big?,head,
102,Protect your head by using helmet while driving two-wheeler.,head,
103,The head of my new company is a nice man,head,
104,Who is the head of the operation here?,head,
105,Our head of department just resigned.,head,
106,The most authority and accountability of an organization is reside on its head.,head,
107,He owns a horse stable.,stable,stable.n.01
108,The horse is in the stable.,stable,stable.n.01
109,A horse is tied in the stable.,stable,stable.n.01
110,He is not stable after the new circumstance.,stable,stable.s.03
111,The price in the market is stable for the last year,stable,stable.s.03
112,"Do not worry, the ladder is stable.",stable,stable.s.03
113,"Although there is fluctuation in economy of Nepal, the price of sugar is stable over 2 years.",stable,stable.s.03
114,Some elements are stable in chemical reaction.,stable,stable.s.03
115,Most of the intermediate product in chemical reaction are not stable product.,stable,stable.s.03
116,Some chemical compounds are very stable.,stable,stable.s.03
117,They crop vegetable in their field.,crop,
118,Crop can be a good source of income for the villagers.,crop,
119,Farmer grows crop for survival.,crop,
120,Crop her skirt.,crop,
121,"Every Sunday, student crop their nail.",crop,
122,I want to crop this photo.,crop,
123,She want her hair to crop.,crop,
124,We usually crop the pictures when we do not want the viewer to see the unwanted or undesirable part within the picture.,crop,
125,It is difficult to wear a tie without using mirror.,tie,
126,He usually wears tie on parties and meetings.,tie,
127,I feel awkward to wear a tie.,tie,
128,That black tie suits for this shirt.,tie,
129,Tie up your life with nice girl.,tie,
130,India tie with European union to pressure Nepal on its recently released constitution.,tie,
131,Yesterday’s match got tie up with 2-2 score.,tie,
132,they tie up with new relation.,tie,
133,The two Universities tie up for to achieve their common goals.,tie,
134,It is against the humanity that the patient’s are still tie up at asylum when they behave violent.,tie,
135,Tie with the rope even though it is not a good support.,tie,
136, tie the victim so that he cannot escape.,tie,
137,Pass the ball to next player in an eye blink.,pass,
138,The player gave a nice pass to another.,pass,
139,Did u get the pass for the exhibition?,pass,
140,I do not need pass ticket to watch the match.,pass,
141,Student need to pass final exam to be upgraded to upper class.,pass,
142,They pass the course.,pass,
143,Course book might not be available in book fair.,fair,
144,I like to visit book fair because we get cheap books there.,fair,
145,Country’s fair is a forum for country’s people to sell their goods and a entertainment.,fair,
146,His horse won a Gold medal in city fair.,fair,
147,I won first prize at the fair.,fair,
148,The result of 9 grade was not fair.,fair,
149,Nepal wants fair deal on its hydropower project.,fair,
150,Tribhuvan university is renowned for its fair exam.,fair,
151,The result does not seem fair.,fair,
152,Traveling by train is safe.,train,
153,I am waiting for next train,train,
154,Our train will come in this platform.,train,
155,This train will stop in next station.,train,
156,Train robbery has become a major problem in India.,train,
157,A big network of train is required to overcome traffic need in cities.,train,
158,You have to train your horse before the race.,train,
159,Train him as a chef.,train,
160,I train her to take over my job when I retire.,train,
161,The shelf is filled with book.,book,
162,That one is the best book I have ever read.,book,
163,He is an author of this book.,book,
164,book a hotel for a week.,book,
165, book the air ticket as soon as possible.,book,
166,Book the 4 room in the hotel.,book,
167,The glasses lie on the table.,lie,
168,The river lie in the mid of the city.,lie,
169,Pokhara lie in Nepal.,lie,
170,Children never lie.,lie,
171,A lie he speak proved to be a bottleneck for his relation.,lie,
172,Children sometimes lie her mother to hide their mistake.,lie,
173,All the metals are organized in a periodic table.,table,
174,The age of all the students was recorded in a table.,table,
175,The data in the table.,table,
176,A new table was ordered for the cabin.,table,
177,He uses a table while he study.,table,
178,A copy placed on the table is mine.,table,
179,That table seems stronger.,table,
180,The design of his new office table.,table,
181,Crane is a big beautiful bird.,crane,
182,Crane is one of the endangered animal.,crane,
183,Crane loves to eat fish.,crane,
184,Crane flying low indicate warm weather.,crane,
185,We hired a crane to lift the new air conditioner and place it on the roof.,crane,
186,Crane would lift with a speed of about 200 ft.,crane,
187,"The use of crane is of great antiquity, but it is only since the great industrial development of the 19th century.",crane,
188,They procure a two crane for a project.,crane,
189,The train just left.,train,
190,The train has arrived.,train,
191,They miss the last train.,train,
192,Where is the train station?,train,
193,I went there by bus and train.,train,
194,Trainer train villagers.,train,
195,Teacher train the student about python programming language.,train,
196,Ram and Sita train a dog for various activities.,train,
197,He assigned a supervisor to train fresher.,train,
198,Tom and Mary will join the navy.,navy,
199,The navy defend our seacoast.,navy,
200,He join United States Navy.,navy,
201,The navy obeyed an order to go to sea.,navy,
202,"Im looking for a navy blue raincoat, size 36.",navy,
203,The girl in navy blue jacket I liked the most.,navy,
204,Wow! Navy blue color is my favourite.,navy,
205,The boys should wear navy blue pant in school.,navy,
206,The latest fashion contains a Navy black shirt.,navy,
207,The school looks like a prison.,like,
208,He looks like a John Bob.,like,
209,They looks like they are British.,like,
210,This rain looks like heavy.,like,
211,I like love stories.,like,
212,I like movies a lot.,like,
213,Which subject do you like most?,like,
214,You like to go outing.,like,
215,Mary likes to eat nut.,nut,
216,There is a sweet nut for sell.,nut,
217,He is a sweet nut seller.,nut,
218,The nut is good source of protein.,nut,
219,"For snacks, they eat fruit and nut.",nut,
220,We need a nut that will fit that bolt.,nut,
221,He lost his car nut in road.,nut,
222,Need to tight the nut of a paddle.,nut,
223,This nut is not fitted in the screw.,nut,
224,The nut of a computer becomes loose so let tight it.,nut,
225,I recognized him from his silly net chat.,net,
226,"As of the end of 2018, the Inter net has more than four billion users.",net,
227,I have no net to send email at the moment.,net,
228,They send data through inter net.,net,
229,New computer is connected in this net.,net,
230,The land tax falls upon land not built upon in proportion to its net yearly revenue.,net,
231,"Of the net income, leaving a profit for the year of £914,216.",net,
232,I have net one million dolor profit this year.,net,
233,His net loss is one thousand euro this month.,net,
234,He has a negative thinking on life.,negative,
235,This politician has a negative personality.,negative,
236,Ram got a negative evaluation because of his badness.,negative,
237,Public gives a negative reaction to an advertising campaign.,negative,
238,Why people gives me a negative feedback?,negative,
239,Is zero is positive or negative?,negative,
240,This produce negative number.,negative,
241,You got negative value.,negative,
242,The value of infinite may be positive or negative.,negative,
243,Let me find a five negative number from that table.,negative,
244,The network of this electronic circuit is very vast.,network,
245,They set up computer network in lab.,network,
246,Data flow through computer network.,network,
247,This file is shared in network.,network,
248,You have to network with friend if you want to get a good job.,network,
249,It doesnt cost to network with the people.,network,
250,She has a good communicating network with public.,network,
251,I am suitable for that marketing job because I have a good skill to network with people.,network,
252,The sharp nib scratched through the paper.,nib,
253,I want to buy a pen with a thin nib.,nib,
254,The nib allows for greater speed and directness to draw.,nib,
255,This pen has broken nib.,nib,
256,That Gaint Hornbill has a beautiful nib.,nib,
257,Nib of the bird works like a claw.,nib,
258,Nib at the mouth of the bird,nib,
259,Pick that fruit from its node.,node,
260,That plant is very soft at its node.,node,
261,The node at stem of the plant is weak.,node,
262,There is a network problem in that node computer.,node,
263,A network is the interconnection between one or more node.,node,
264,That server cant handle the request of client node anymore.,node,
265,A LAN network has a capacity to tie up to 50 node.,node,
266,If you want to have a high data rate prefer node to node connection.,node,
267,She wrinkle her nose at him.,nose,
268,She gave him a punch on the nose.,nose,
269,"He kissed her forehead, her nose and her lips.",nose,
270,"She sat in her room crying like a child, blowing her nose and sobbing.",nose,
271,Im getting a nose bleed.,nose,
272,My horse lost the race by a nose.,nose,
273,Let him cross through nose escape.,nose,
274,She just win the marathons by nose. ,nose,
275,She grabbed the note pad and wrote a brand name and quantity.,note,
276,Jackson flipped page in his note book.,note,
277,He put her answer down in his note book.,note,
278,He has a habit of writing a note every day.,note,
279,There was a note of uncertainty in his voice.,note,
280,There was a warning note in his voice that made her more uncomfortable.,note,
281,There was some kind of note in his voice that was frightening.,note,
282,"At the mournful note in her voice, he hugged her tightly.",note,
283,There is a notice regarding to winter vacation.,notice,
284,Dont you get a notice from Julia.,notice,
285,You did not give me vacation notice.,notice,
286,There was a notice of final examination in Deans office.,notice,
287, Don’t you get that notice in the notice board?,notice,
288,He was in the way and was the only one who did not notice the fact.,notice,
289,Let you guy find the odd number between 10 to 20.,odd,
290,The sum of two odd number is even.,odd,
291,Can you tell me examples of five odd number.,odd,
292,She is popular for the odd answer.,odd,
293,"Rhyn watched him, even more curious after the odd interaction.",odd,
294,He liked watching her despite her odd action.,odd,
295,"An odd sense entered her mind, dulling her senses.",odd,
296,Cubs attire might get you some odd look.,odd,
297,Please turn off light it is bed time.,off,
298,She turned off the light and pulled the covers up.,off,
299,Don’t forgot to turn off your computer before you leave.,off,
300,Please log off from that session.,off,
301,I think I scared about ten year off my life too.,off,
302,"While still at a distance he take off his cap and tried to speak respectfully, but he was pale and breathless and his face was angry.",off,
303,His vacation is almost off.,off,
304,Set off immediately for Moscow.,off,
305,And she set off at a run along the passage.,off,
306,"And yet, his offer was generous.",offer,
307,"Thanks for the offer, anyway.",offer,
308,Those colleges offer degree programs in Mathematics.,offer,
309,I offer to leave the committee if they did not accept my proposal.,offer,
310,His offer has threaten all the investors.,offer,
311,"The exportation of olive oil in 1898 was valued at 24,000.",olive,
312,The olive and the chestnut are rare.,olive,
313,A dressing of olive oil and vinegar is added by the patron at the table.,olive,
314,He began to hum a Dave Brubeck piece as he reached for a bottle of virgin olive oil.,olive,
315,"They were seen natives of an olive colour, quite good-looking.",olive,
316,Leeches are usually olive green to brown in colour.,olive,
317,"With broad, more or less oblong-ovate, olive green",olive,
318,"He was handsome, with olive skin and eyes that looked as dark as the ocean.",olive,
319,In a short time he was free and in the open air.,open,
320,Let me celebrate the holiday below this clear and open sky.,open,
321,He is an open mind person I ever met.,open,
322,You dont have to open your mouth.,open,
323,If you dont open this door Im going to kick it.,open,
324,The door stood open.,open,
325,He got up and went to the window to open it.,open,
326,That rule is no longer in operation.,operation,
327,Now Im able to adjust my method of operation accordingly.,operation,
328,"The restaurant hours change seasonally, so call for the most current hours of operation.",operation,
329,"During its more than 20 years in operation, this restaurant has received rave reviews from guests and critics alike.",operation,
330,They will schedule the operation as soon as room is available.,operation,
331,He died while undergoing Operation of brain.,operation,
332,"His health was ruined by his diabetes, and a surgical operation became necessary.",operation,
333,"I guess if the operation fails, Ill die anyway.",operation,
334,Commander gave an order to leave the area,order,
335,Government announced an order to enforce the new law,order,
336,Military got an order to leave the boarder,order,
337,They received an order bill for a hundred computers.,order,
338,Sit down and write out the order from the company.,order,
339,The order from the customer has been just arrived.,order,
340,They deliver the order.,order,
341,They supply the goods according to order slip,order,
342,Its the only way to get out of the Valley of Arun.,out,
343,He walk out of a room.,out,
344,"Get out, I don’t want to see you face.",out,
345,"And then they were walking out the door, still talking about the mare.",out,
346,I would kick out with those long legs and iron-shod hoofs.,out,
347,The truth will be out.,out,
348,I was in France while final year result is Out.,out,
349,The special of murder case is public out now.,out,
350,The best quality jackets can be purchased from our outlet office in Pokhara.,outlet,
351,They are planning to open a small outlet of their manufacturing group in Berlin.,outlet,
352,Dont waste good film on someone who buys her cloth at an outlet mall.,outlet,
353,These goods are available in the outlet store in Pokhara.,outlet,
354,It is a special feature of Russia that she has no free outlet to the open sea except on the ice-bound shores of the Arctic Ocean.,outlet,
355,"The treaty port of the province, stands at the outlet of the river Siang into this lake.",outlet,
356,"Of river navigation, a good outlet on the Pacific coast.",outlet,
357,Farther has its outlet into the lake between Baveno and Pallanza.,outlet,
358,She carefully drew the outline of a truck.,outline,
359,You are not allowed to enter the outline of Army Barrack.,outline,
360,His Line following Robot always follows the outline he just draw.,outline,
361,She noted the outline of a door beneath the stairs.,outline,
362,Its outline is very irregular.,outline,
363,Can you conclude outline of his idea.,outline,
364,Tell me the outline of this book.,outline,
365,What is the main outline of the classification that is adopted in the present article?,outline,
366,Please write outline of today’s lecture.,outline,
367,Write outline of todays presentation on Internet of Things.,outline,
368,Sandip Lamichanne takes two wicket in single over.,over,
369,Mr. Hari does continuous Bowling for three over.,over,
370,Captain of India collects 30 run in single over with five six.,over,
371,It starts raining when game was in 12th over.,over,
372,ODI game is generally 20 over.,over,
373,Look there is snake over the table.,over,
374,Why people dont use over head bridge.,over,
375,Birds fly over the tree.,over,
376,She withdrew a thick pad of paper and pack of pencil.,pack,
377,Where is my cigarette pack.,pack,
378,Rostov took a piece of cards from its pack. ,pack,
379,Pack your bag.,pack,
380,He helped me to pack my baggage ,pack,
381,She held up her pad of copious note.,pad,
382,I pulled out a pad and pencil.,pad,
383,She dug through one and withdrew a thick pad of paper and pack of pencils.,pad,
384,She found a pad and pen on his desk.,pad,
385,Wall Lizard can walk in wall through its pad.,pad,
386,Monkey has five fingers on his pad.,pad,
387,There is a sticky material in spider pad.,pad,
388,Wheres the package of cigarette?,package,
389,It was a package deal.,package,
390,She handed the package she was holding to Mr Ram.,package,
391,This Package of noodles costs Rs. Ten.,package,
392,I have to pick up a package at the Post Office.,package,
393,This package of antivirus costs rupees Five Hundred.,package,
394,Trial package of any software is only for one months.,package,
395,We basically provide a ten functionality in this package of the software.,package,
396,This book contains two hundred page.,page,
397,He turn the page and to read more.,page,
398,His photo was printed in front page of newspaper.,page,
399,Mr Ram started to writing on his page.,page,
400,Just give me a few minutes to finish this page and Ill read it to you.,page,
401,A page is called to serve in their official ceremony.,page,
402,The page assists in her work.,page,
403,He is famous with his pale blue eye.,pale,
404,The sight of the sunset is the pale orange.,pale,
405,Look at these pale blue party dress.,pale,
406,He may turn pale yellow when the trial comes.,pale,
407,"He nodded, his pale eye darkening enough to twinkle.",pale,
408,It cant always be white pale fence and cottage.,pale,
409,These pale are formed from bamboo tree.,pale,
410,The soldiers who formed the pale line on either side.,pale,
411,He gazed at it in the palm of his hand.,palm,
412,She kiss his palm and speak to him softly.,palm,
413,"She took his hand, kissed his palm, and led him to the bedroom.",palm,
414,Sit outside under the palm tree from May through October.,palm,
415,There is palm leaf spreading on the road.,palm,
416,The palm leaf starts dropping as the summer begins.,palm,
417,There is a huge palm tree in the garden.,palm,
418,This wood is from palm.,palm,
419,There are laws that protect the wildlife in this park.,park,
420,They went for a walk in the park.,park,
421,His attention was on some children playing in the park.,park,
422,Can I park my car here?,park,
423,Tom park the car.,park,
424,Im going to park my bike here.,park,
425,You cant park your taxi in street.,park,
426,I copied a passage from the book into my note.,passage,
427,He read a passage from Shakespeare.,passage,
428,"Read the passage on page 22, please.",passage,
429,Tom read passage from the Bible.,passage,
430,Read this passage and translate it into Japanese.,passage,
431,Theres a narrow passage.,passage,
432,A car lying on its side block the passage.,passage,
433,We found a secret passage into the building.,passage,
434,This is the only one passage to reach that mountain.,passage,
435,The passage of Panama is started to build in 1950s.,passage,
436,Tom has a patch of gray in his hair.,patch,
437,Tom is out digging in the cabbage patch.,patch,
438,"Itll take some time, but I think we can patch things up.",patch,
439,The last time I saw Tom he was wearing an eye patch.,patch,
440,I used a patch to crack a software.,patch,
441,This patch is mostly used computer program.,patch,
442,I got new version of this patch.,patch,
443,I have a trial version of this patch.,patch,
444,The patient is out of danger now.,patient,
445,Doctor is checking patient in OPD ward.,patient,
446,Tom is treating a patient.,patient,
447,The patient in emergency has a critical condition.,patient,
448,Line of patient is formed in hospital.,patient,
449,Patient is taking medicine.,patient,
450,His brother is more patient to learn this,patient,
451,My driving instructor says I should be more patient.,patient,
452,He is a patient man.,patient,
453,You need to be patient to know new things.,patient,
454,I will stay here for a short period.,period,
455,I looked after him for a period of time.,period,
456,Ten years is a really long period of time.,period,
457,"In this school, a period is fifty minute long.",period,
458,She feels energy-less on her period.,period,
459,She goes to doctor because of high pain on her period.,period,
460,She is not pregnant because she has regular period.,period,
461,She cannot go school due to pain during her period.,period,
462,You have to pick one among four.,pick,
463,Pick some fruits that you like.,pick,
464,I pick one of my best color.,pick,
465,Dont always pick on your little brother.,pick,
466,Stop pick ing on me.,pick,
467,Stop pick ing on Tom.,pick,
468,I dont want to pick a fight.,pick,
469,He is in his fall semester.,fall,
470,This fall season has becomes the coldest ever.,fall,
471,Three person died in this fall season because of cold.,fall,
472,I will leave this city at the end of the fall.,fall,
473,Fall is the best season for sports.,fall,
474,This week the price of gold is fall down.,fall,
475,The apple fall down from tree.,fall,
476,The fall of value of share made me sad today.,fall,
477,That beautiful lady fall down because of her sandal.,fall,
478,Tom has a low pitch voice.,pitch,
479,"He listened to my pitch, so he must be interested.",pitch,
480,This device used to produce a high pitch of noise.,pitch,
481,Mosquito noise has a high pitch value.,pitch,
482,Tom and Mary pitch their tent near the stream.,pitch,
483,Where should we pitch the TV stand?,pitch,
484,Do you really want to pitch your Camera stand this close to the river?,pitch,
485,Lets pitch the tent while its still light.,pitch,
486,The flight was delay due to trouble with the plane.,plane,
487,Ill make a plane reservation.,plane,
488,"All right, Ill buy ticket of a plane for the morning.",plane,
489,But he fly to Pokhara on a plane with her.,plane,
490,This equation of line cuts in X-Y plane.,plane,
491,The plane sheet of paper is for practice.,plane,
492,There should not be house in plane area.,plane,
493,They built a large plant to manufacture automobile.,plant,plant.n.01
494,He laid at that plant.,plant,plant.n.01
495,Our company is planning to build a new chemical plant in Russia.,plant,plant.n.01
496,Fear of pollution discouraged people from building homes near power plant.,plant,plant.n.01
497,Plant dies without water.,plant,plant.n.02
498,Take care of your plant in the garden.,plant,plant.n.02
499,You have various plant flower.,plant,plant.n.02
500,Plant grows only in the tropical regions.,plant,plant.n.02
501,He has a best role in that play.,play,
502,Tom seems good in a villain role in a play.,play,
503,Her acting is always looks real in her every play.,play,
504,They drew a five year play for their office.,play,
505,The plot of data in pie chart ,plot,
506,Plot of findings in bar chart,plot,
507,The graph shows the plot in line bar,plot,
508,Hitler made a plot to invade Poland,plot,
509,This is the best view point in this valley.,point,
510,Two point make a straight line.,point,
511,It will be a centre point for trade,point,
512,I get the point.,point,
513,Note down the important point.,point,
514,The main point of this discussion is to be united.,point,
515,She likes Russian pop song.,pop,
516,Mary is a famous pop star.,pop,
517,John is mad about pop music.,pop,
518,My favourite music is pop.,pop,
519,It is certain that Lucy will marry the pop singer.,pop,
520,I hope I pop off to someplace fascinating,pop,
521,"He knows you can pop up anywhere, geographically; youve proved that to him.",pop,
522,Tom looked out the window at the ship that was coming into port.,port,
523,The ship reached port.,port,
524,A pilot guides the ship toward the port.,port,
525,The big cruise arrived the port.,port,
526,Spain has many sea port.,port,
527,Connect the cable to its port.,port,
528,The USB port my laptop is not working.,port,
529,There are four serial output port at arduino device.,port,
530,Connect this wire to the Ethernet port.,port,
531,The health post is built a year ago.,post,
532,This army check post was established in 1999 AD.,post,
533,Police are checking the bus in next check post,post,
534,They build the entrance post for the camp,post,
535,They just resign from their post.,post,
536,He is promoted to a post of CEO.,post,
537,There are ten vacant post in this office.,post,
538,The post of manager is very important to this enterprise.,post,
539,As volume decrease pressure will be increased.,pressure,
540,He got die because of his high blood pressure.,pressure,
541,There is a high pressure on the water pipe.,pressure,
542,This may not bear the pressure of heavy load.,pressure,
543,She is in pressure due to her exam.,pressure,
544,I work better under pressure.,pressure,
545,Girls in Nepal have unwanted social pressure.,pressure,
546,Parents should not give much pressure to their children to study.,pressure,
547,Some schools enforce their student much pressure to get high marks in exam,pressure,
548,Tom is now in his prime time. ,prime,
549,He is now in the prime part of his life. ,prime,
550,Thats a matter of prime importance. ,prime,
551,The coral reef is the regions prime attraction. ,prime,
552,Pokhara is prime location for tourism. ,prime,
553,2539 is a prime number. ,prime,
554,Which are the prime number? ,prime,
555,You have to write five prime number. ,prime,
556,Lets tell prime number between zero to fifty. ,prime,
557,Prime number is natural number ,prime,
558,He is looking her facebook profile,profile,
559,CV represents one’s overall the profile,profile,
560,She is a high profile personality,profile,
561,His profile does not match for the post,profile,
562,Her academic profile is amazing ,profile,
563,The car hit a telephone pole.,pole,
564,There is a mess of wire in the pole,pole,
565,You climb up the pole.,pole,
566,The wooden pole is broken,pole,
567,"At the North Pole, there are no penguins.",pole,
568,He left on an expedition to the North Pole.,pole,
569,The Arctic is the area round the North Pole.,pole,
570,He explored the region around the South Pole.,pole,
571,I experienced intense cold at the South Pole last year.,pole,
572,Her weight is 120 pound.,pound,
573,I want to lose ten pound.,pound,
574,He bought a pound of sugar.,pound,
575,This balance can weigh only up to 50 pound,pound,
576,He bet two pound on the horse.,pound,
577,The cost of this bag is 60 pound.,pound,
578,Can I borrow five pound from you?,pound,
579,I earn 6 pound per hour. ,pound,
580,Wheres the TV remote?,remote,
581,Do you have the fan remote?,remote,
582,The remote is in your hand.,remote,
583,I lost my AC remote.,remote,
584,I live in a remote area.,remote,
585,He enjoys exploring remote area.,remote,
586,She was born in a remote village in Nepal.,remote,
587,The botanist studied the flora of the remote island.,remote,
588,The answer is right.,right,
589,The way you are doing is not right.,right,
590,Make it a right.,right,
591,Third option is right.,right,
592,Voting is right of citizens.,right,
593,Women has an equal right as men.,right,
594,Every child has right to study.,right,
595,The ship crashed on a rock.,rock,
596,Dont throw rocks into the river.,rock,
597,The rock rolled down the hill.,rock,
598,He hid himself behind a large rock.,rock,
599,She is absorbed in rock music.,rock,
600,Bob lost interest in rock music.,rock,
601,Who is your favorite rock singer?,rock,
602,That rock band gives me a headache.,rock,
603,Please line up in a row.,row,
604,Students stand in row in assembly. ,row,
605,Row of tree on the side of road ,row,
606,"My parents often have row, but my dad does most of the shouting.",row,
607,There was an almighty row when I asked them to leave.,row,
608,They have massive row because theyre both so stubborn.,row,
609,I cant concentrate because of the row the builders are making,row,
610,An old saw says a hospital can be a dangerous place for a healthy person.,saw,
611,Studies reveal that for most people the old saw is all too true,saw,
612,"Once again, that old saw ""Less is more"" applies.",saw,
613,She proved the saw that behind every great man is an even greater woman.,saw,
614,He was cutting the wood with saw.,saw,
615,This saw is out of blade.,saw,
616,I buy saw from India. ,saw,
617,They use saw to cut tree.,saw,
618,This map is large scale,scale,
619,"Films are rated on a scale of poor, fair, good and excellent.",scale,
620,"On a scale of one to ten, Id rate his latest book a five.",scale,
621,The new salary scale only refers to company managers and directors.,scale,
622,Remove that scale of a fish.,scale,
623,The fish has shiny scale.,scale,
624,This fish has only few scale.,scale,
625,The lawyer stamped the certificate with her seal.,seal,
626,This document should be stamped with official seal.,seal,
627,The ink of the seal is dim.,seal,
628,Diplomas are stamped with the state seal.,seal,
629,Seal the package (up) with tape.,seal,
630,They seal the envelope with glue.,seal,
631,Seal the top of the bottle with green wax.,seal,
632,Seal the bag before they go in the freezer.,seal,
633,"If you seal food in foil pouches, it lasts for a long time.",seal,
634,There are 60 second in a minute.,second,
635,These computers process millions of instructions per second.,second,
636,The new system can trace a phone call in a fraction of a second.,second,
637,"After the USA, China is the second biggest importer of oil.",second,
638,His second novel was much better than his first.,second,
639,The second accident involved two cars and a lorry.,second,
640,This is my second attempt at the exam.,second,
641,In the second experiment they obtained a very clear result.,second,
642,"To start the machine, just give this button a press",press,
643,Can you give this shirt a quick press?,press,
644,A Light press on a button.,press,
645,The Prime Minister will hold a press conference tomorrow.,press,
646,The incident has been widely reported in the press.,press,
647,Press reports included the incident.,press,
648,There is no press coverage in this village,press,
649,Freedom of the press must be upheld.,press,
650,He must be the principal of this school.,principal,
651,Id like to meet the principal.,principal,
652,Principal is motivating her students,principal,
653,The principal amount is ten thousand.,principal,
654,The principal amount you put on stock is in risk.,principal,
655,The accumulate amount is the sum of principal and interest.,principal,
656,This is our primary target.,primary,
657,My primary concern is your safety.,primary,
658,Customer satisfaction is our primary concern.,primary,
659,The primary cause of his failure is laziness.,primary,
660,That primary school has a few student,primary,
661,This problem is too difficult for primary school children to solve.,primary,
662,My primary school education is completed in London.,primary,
663,His curiosities prompt him to ask questions.,prompt,
664,I was wondering what will prompt to make the decision.,prompt,
665,Conflicting reports prompt the director to reconsider her position.,prompt,
